Category,Post Hook / Title,Content Type,Angle,Viral Potential
AI,AI won't replace you — someone using AI will replace you,Contrarian take,Personal observation,High
AI,The AI tools I use daily as a [job title],Listicle / utility,Tool recommendations,High
AI,I asked 5 AI chatbots the same question — here's the wildest answer,Experiment / comparison,Viral curiosity,Very High
AI,Most people use ChatGPT wrong. Here's the prompt structure that actually works,Tutorial / education,Tips and tricks,High
AI,AI saved me [X hours/week]. Here's exactly how,ROI / productivity,Personal story,High
AI,Why every startup should be an AI company now,Trend take,Business strategy,Medium
AI,The AI skills that will be valuable in 2025 vs. 2024,Prediction / career,Future-proofing,High
AI,I built a full SaaS in 48 hours with AI. Here's what I learned,Build / experiment,No-code/AI build,Very High
AI,AI is not as smart as you think. Here's why,Contrarian,Nuance/take,Medium
AI,The real reason AI progress feels so fast (and why it'll slow down),Insight / analysis,Industry take,Medium
AI for Researchers,How I'm using AI to read 10x more papers,Productivity workflow,Academic tool use,High
AI for Researchers,Perplexity AI vs. ChatGPT for research — real comparison,Comparison,Tool review,High
AI for Researchers,I used AI to help write my research paper — ethically? Here's my take,Opinion / ethics,Academic integrity,High
AI for Researchers,Free AI tools every PhD student should know in 2025,Resource list,Tool curation,High
AI for Researchers,AI helped me find a critical gap in my literature review,Personal story,Research workflow,Medium
AI for Researchers,Why your literature review is probably incomplete without AI,Contrarian,Research methods,Medium
AI for Researchers,I'm a [field] researcher. Here's how AI changed my workflow,AMA / personal,Day in life,High
AI in Medical,AI detected my cancer before the doctors did,Personal story,Life-changing use case,Very High
AI in Medical,How AI is diagnosing diseases faster than radiologists now,Industry news,AI advancement,High
AI in Medical,The hospital that replaced 30 radiologists with AI — 1 year later,Case study,Real world impact,Very High
AI in Medical,AI in healthcare: hype vs. reality in 2025,Fact-check,Balanced take,High
AI in Medical,Doctors who use AI will replace doctors who don't,Provocative take,Industry opinion,High
AI in Medical,I built an AI diagnostic tool for [rare disease]. Here's what happened,Build story,Innovation,High
AI in Medical,HIPAA and AI: what every medical professional needs to know,Education,Compliance,Medium
AI in Medical,The AI wearable that caught my arrhythmia before symptoms appeared,Personal story,Wearables/AI,Very High
AI for Developers,Stop writing code. Start prompting,Contrarian take,Workflow shift,Very High
AI for Developers,My AI coding assistant stack in 2025,Tool stack,Developer setup,High
AI for Developers,GitHub Copilot is good now. Here's why that matters,Tool review,IDE/AI tools,High
AI for Developers,I shipped a full React app in 2 hours with Cursor AI,Build demo,AI coding tool,Very High
AI for Developers,The prompt that turns Claude into your senior engineer,Tutorial,Prompt engineering,High
AI for Developers,AI code reviews are here. Are senior devs obsolete?,Provocative,Future of dev,Very High
AI for Developers,Why I'm still hiring senior devs over AI juniors,Contrarian,Hiring take,Very High
AI for Developers,Run a 70B model on your MacBook. Here's how,Tutorial,Local AI dev,High
AI for Developers,The bug AI found that I missed for 3 years,Humble story,AI debugging,High
AI for Developers,We replaced our QA team with AI. 6 months in — honest review,Case study,Team impact,Very High
AI for Startups,I run a $10M ARR startup with 2 employees and AI,Metric / story,Lean startup,Very High
AI for Startups,AI agents: the $0 marketing team that works 24/7,Tool hack,Startup ops,Very High
AI for Startups,We spent $0 on ads using AI. Here's our growth strategy,Zero-cost hack,Growth,Very High
AI for Startups,Every SaaS will be free within 3 years. Here's why,Prediction,Industry take,High
AI for Startups,I replaced my co-founder with AI. The board was not happy,Provocative,Startup life,Very High
AI for Startups,The AI stack for early-stage startups in 2025,Resource,Tool curation,High
AI for Startups,Why solo founders with AI are winning YC now,Trend take,Venture angle,High
AI for Startups,I validated a startup idea with AI before writing a single line of code,Validation,Lean startup,High
AI for Startups,The real cost of building with AI vs. traditional dev team,Comparison,Business case,High
Software Industry,Remote work is over. Here's what killed it,Contrarian take,Work culture,Very High
Software Industry,The real reason so many devs are getting laid off in 2025,Industry analysis,Layoffs,Very High
Software Industry,I turned down $500K at FAANG to stay indie. No regrets.,Career story,Life choice,Very High
Software Industry,The programming languages dying fastest in 2025,Data take,Tech trends,Very High
Software Industry,Open source is winning. Closed source is finished.,Bold claim,Industry take,High
Software Industry,Why most developer tools fail (from someone who built 5 of them),Insight,Founder lessons,High
Software Industry,The tech interview is broken. Here's how top companies bypass it now,Critique,Hiring,High
Software Industry,I'm a self-taught dev who landed $300K. Here's my exact path,Career story,Inspiration,High
Software Industry,Why niche programming languages are making a comeback,Trend,Dev ecosystem,Medium
Software Industry,The one skill that separates senior devs from juniors (it's not coding),Insight,Career growth,High
AI Agents,I hired 5 AI agents. They work while I sleep.,Personal story,Agent workflow,Very High
AI Agents,The AI agent that replaced my entire sales team,Business case,Agent replacement,Very High
AI Agents,Autonomous AI agents: 1 year later — what worked and what failed,Retrospective,Honest review,Very High
AI Agents,How to build your first AI agent without code,Tutorial,No-code agent,High
AI Agents,Why AI agents will be bigger than SaaS,Prediction,Future trend,High
AI Agents,The prompt that makes AI agents 10x more reliable,Tutorial,Agent prompting,High
Prompt Engineering,The 3-word prompt that changed how I use AI,Quick tip,Viral hook,Very High
Prompt Engineering,I'm a prompt engineer. Here's what I actually do all day,Inside look,Career peek,High
Prompt Engineering,Stop using basic prompts. Try this advanced framework instead,Education,Skill share,High
Prompt Engineering,The prompt that got me a job offer at OpenAI,Personal story,Success story,Very High
Prompt Engineering,Chain-of-thought prompting: why it works so well,Explanation,AI education,Medium
AI Careers,The AI jobs that didn't exist 2 years ago (and pay $200K+),List / opportunity,Career discovery,Very High
AI Careers,I learned AI in 6 months with $0. Here's the exact roadmap,Roadmap,Learning path,Very High
AI Careers,Prompt engineering is a $300K role. Here's how to get in,Career angle,High demand role,High
AI Careers,Why learning to code in 2025 is different (and easier) than before,Contrarian,Learning,High
AI Careers,The skills that will be worthless in AI (and what to learn instead),Advice,Career strategy,High
AI Careers,I got promoted because I know AI. Here's what I did differently,Personal story,Career growth,High
AI in Production,We deployed AI to 1M users. What we learned the hard way,Case study,Real deployment,High
AI in Production,LLM hallucinations: the enterprise problem nobody talks about,Problem talk,Enterprise AI,High
AI in Production,ROI of AI: what actually works vs. what doesn't,Analysis,Business AI,High
AI in Production,The hidden cost of running AI in production (it's not what you think),Insight,Operations,Medium
AI in Production,How to evaluate AI systems that aren't just 'vibes',Technical,MLOps,Medium
AI Tools,Claude vs GPT-4 vs Gemini: honest comparison after 6 months,Comparison,Tool review,Very High
AI Tools,The best free AI tools nobody is talking about,Curation,Hidden gems,High
AI Tools,I tested every AI writing tool. Only 3 are worth your time,Review,Tool curation,High
AI Tools,Cursor vs Windsurf vs Copilot: which AI IDE actually ships faster?,Comparison,Dev tools,Very High
AI Tools,"The AI tool stack I use for everything (research, writing, coding)",Stack share,Productivity,High
